year,lyr_des,gen_cate,lyr_gen,n_lyr,n_gen,n_lyr_gen,total,p_lyrics,p_lyr_lci,p_lyr_uci,p_genre,p_gen_lci,p_gen_uci,p_lyrgen,p_lyrgen_lci,p_lyrgen_uci
2008,marijuana,gen_rap,"marijuana,gen_rap",736,1402,411,4803,15.323755985842183,14.322658498918406,16.380843479408142,29.19008952737872,27.911109132598096,30.502600191419138,29.315263908701855,26.9568717290784,31.788387207705643
2008,marijuana,gen_rock,"marijuana,gen_rock",736,1578,205,4803,15.323755985842183,14.322658498918406,16.380843479408142,32.85446595877576,31.53002950152482,34.206521307462666,12.991128010139416,11.391865580409144,14.77356477112094
2008,alcohol,gen_country,"alcohol,gen_country",189,872,33,4803,3.9350405996252342,3.411280276493763,4.533818191261026,18.155319591921714,17.08059157337255,19.281431623121424,3.784403669724771,2.6592066446037537,5.333088953997454
2008,alcohol,gen_hiphop,"alcohol,gen_hiphop",189,1170,44,4803,3.9350405996252342,3.411280276493763,4.533818191261026,24.359775140537167,23.15639062202073,25.604492433960544,3.7606837606837606,2.7765131096641005,5.059228020637344
2008,alcohol,gen_rap,"alcohol,gen_rap",189,1402,90,4803,3.9350405996252342,3.411280276493763,4.533818191261026,29.19008952737872,27.911109132598096,30.502600191419138,6.419400855920114,5.219484375805905,7.864068228671571
2008,alcohol,gen_rock,"alcohol,gen_rock",189,1578,79,4803,3.9350405996252342,3.411280276493763,4.533818191261026,32.85446595877576,31.53002950152482,34.206521307462666,5.006337135614702,4.006989835102666,6.230610850642435
2008,other_illicit,gen_country,"other_illicit,gen_country",1181,872,139,4803,24.58879866749948,23.381388683048787,25.837171136367605,18.155319591921714,17.08059157337255,19.281431623121424,15.940366972477063,13.60732893027709,18.579199918912572
2008,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1181,1170,354,4803,24.58879866749948,23.381388683048787,25.837171136367605,24.359775140537167,23.15639062202073,25.604492433960544,30.256410256410255,27.650809085383393,32.993329288745635
2008,other_illicit,gen_rap,"other_illicit,gen_rap",1181,1402,636,4803,24.58879866749948,23.381388683048787,25.837171136367605,29.19008952737872,27.911109132598096,30.502600191419138,45.36376604850214,42.73860685695879,48.01460850431416
2008,other_illicit,gen_rock,"other_illicit,gen_rock",1181,1578,171,4803,24.58879866749948,23.381388683048787,25.837171136367605,32.85446595877576,31.53002950152482,34.206521307462666,10.836501901140684,9.36720241052105,12.49993389293809
2009,marijuana,gen_country,"marijuana,gen_country",934,1162,210,5000,18.68,17.614107190143187,19.794426516062874,23.24,22.080287842081177,24.441150339256584,18.072289156626507,15.92537337083964,20.433689949739385
2009,marijuana,gen_hiphop,"marijuana,gen_hiphop",934,1103,241,5000,18.68,17.614107190143187,19.794426516062874,22.06,20.922551442798092,23.240720786329323,21.84950135992747,19.467481721847104,24.430545045949255
2009,marijuana,gen_rap,"marijuana,gen_rap",934,1497,384,5000,18.68,17.614107190143187,19.794426516062874,29.94,28.676448299937896,31.234594412726562,25.651302605210418,23.47098231535309,27.958144366041935
2009,marijuana,gen_rock,"marijuana,gen_rock",934,1853,322,5000,18.68,17.614107190143187,19.794426516062874,37.059999999999995,35.721805661383414,38.4182108188733,17.37722611980572,15.694064240739017,19.197476211353887
2009,alcohol,gen_country,"alcohol,gen_country",335,1162,126,5000,6.7,6.030184409758339,7.437256441180503,23.24,22.080287842081177,24.441150339256584,10.843373493975903,9.143155738072545,12.80781866837121
2009,alcohol,gen_hiphop,"alcohol,gen_hiphop",335,1103,84,5000,6.7,6.030184409758339,7.437256441180503,22.06,20.922551442798092,23.240720786329323,7.615593834995467,6.15222327315559,9.381634855174172
2009,alcohol,gen_rap,"alcohol,gen_rap",335,1497,147,5000,6.7,6.030184409758339,7.437256441180503,29.94,28.676448299937896,31.234594412726562,9.819639278557114,8.382419559578382,11.467086154756782
2009,alcohol,gen_rock,"alcohol,gen_rock",335,1853,127,5000,6.7,6.030184409758339,7.437256441180503,37.059999999999995,35.721805661383414,38.4182108188733,6.853750674581758,5.765479734966154,8.124715099871706
2009,other_illicit,gen_country,"other_illicit,gen_country",1373,1162,246,5000,27.46,26.230713038011316,28.72417458368694,23.24,22.080287842081177,24.441150339256584,21.17039586919105,18.87734563248304,23.656905615457234
