value
 sugar block
 topo
 tornado
 trash
 trey
 yam
 yay
black
 black tar
 black pearl
 black stuff
 black eagle
 boy
 brown
 brown crystal
 brown rhine
 brown sugar
 brown tape
 china white
 dope
 dragon
 the dragon
 h
 he
 horse
 junk
 mexican brown
 mexican mud
 mexican horse
 mud
 number 3
 number 4
 number 8
 sack
 scat
 skag
 skunk
 smack
 snow
 snowball
 tar
 white
 white nurse
 white lady
 white horse
 white girl
 white boy
 white stuff
adam
 beans
 candy
 clarity
 dancing shoes
 disco biscuits
 e
 e-bomb
 egg rolls
 eve
 happy pills
 lover’s speed
 malcolm
 malcolm x
 peace
 rolls
 scooby snacks
 smartees
 the vowel
 triple stacks
 uppers
 vitamin e
 vitamin x
 vowel
 x
 xtc
chalk
 christina
 cookies
 cotton candy
 crank
 cream
 crystal
 crystal meth
 dunk
 fire
 gak
 garbage
 glass
 go fast
 go-go juice
 ice
 meth
 no doze
 no stop
 pookie
 rocket fuel
 scooby snacks
 speed
 trash
 tweek
 wash
 white cross
ames
 amies
 amys
 pearls
 poppers
aroma of men
 bolt
 bullet
 climax
 hardware
 locker room
 poppers
 quicksilver
 rush
 snappers
 thrust
buzz bomb
 hippie crack
 laughing gas
 whippets
big whites
 buse
 oranges
 small whites
 sobos
 stops
 strips
 sub
 subs
captain cody
 cody
 little c
 schoolboy
act
 lean
 purple drank
 sizzurp
 texas tea
apache
 china girl
 china white
 dance fever
 friend
 goodfella
 jackpot
 murder 8
 tango and cash
 tnt
bananas
 dro
 fluff
 hydros
 tabs
 vikes
 v-itamin
 watson-387
 357s
d
 dillies
 footballs
 juice
 smack
demmies
 pain killer
amidone
 dollies
 dolls
 fizzies
 mud
 red rock
 tootsie roll
god’s drug
 m
 miss emma
 monkey
 morpho
 white stuff
30s
 as
 berries
 blues
 blueberries
 hillbilly heroin
 ms
 o.c.
 oxy
 oxycet
 oxycotton
 ozone
 roxy
ercs
 greenies
 kickers
 m-30s
 percs
 rims
 tires
 wheels
 512s
biscuits
 blue heaven
 mrs. o
 o bomb
 octagons
 stop signs
footballs
 n’s
 pink footballs
 pinks
 yellow footballs
 65s
chill pills
 trammies
 ultras
dime
 dime tabs
 substance d
dex
 dextro
 drix
 poor man’s ecstasy
 red devils
 robo
 robotripping
 triple c
 tussin
 x
chalk
 crank
 meth
 speed
cuddle puddle (multiple users)
 e-puddle (multiple users)
 peeper
 pill face
 thizz face
blown up
 buzzed
 dosed
 faced
 faced out
 flipping
 loved up
 peaking
 rolling
 roll balls
 smacked
 spun
boogahead
 cokehead
 coke hound
 cokey
 cokie
 hardliner
 snowblower
 snow bird
 snow bunny
bipping (snorting coke and heroin)
 blow blue
 blow coke
 crisscrossing (snorting coke and heroin)
 do a line
 do a rail
 freebase
 go skiing
 hit a wack
 hitting the slopes
 ride the rails
 snort
bump
 brick
 hit
 key bump
 eightball
 kilo
 line
 rail
base head
 beamer
 binger
 buffer
 chaser
 closet baser
 cluck
 cracker jack
 dope fiend
 dynamiter
 garbage head
 geeker
 gick monster
 klingon
 nickelonians
 pipero
 puller
 toucher
basing
 blast
 chasing
 freebasing
crack pipe
 crystal ship
 devil’s d**k
 glass d**k
 pizzie
 pookie
 rock pipe
 stem
 straight shooter
 whistle
channel swimmer
 chipper (occasional user)
 cotton shooter
 dinosaurs (users in their 40s or 50s)
 hype
 jolly popper (occasional user)
 junkie
 junker
 poison people
 schmecker
 sleepwalker
blow
 chase the dragon
 cooking (preparing heroin for injection)
 cook down
 crangbustin (chewing tobacco with heroin)
 getting well
 give wings (teach someone to use)
 gravy
 jack up
 shoot
 shoot up
cranker
 cranker man
 geeker
 jib head
 kingsford
 meth head
 meth maggot
 meth monster
 smack head
 speed freak
 tweaker
blow clouds
 clouds
 smokin rain
 tweaking
 twirling
booger pipe
 bowlo
 bubble
 chalet
 glass d**k
 glass rose
 jib whistle
 monkey crusher
 oil burner
 peezo
 pelo
 pipa
 pookie
 shwok
 twizzal stick
dipper head
 duster
 dusthead
 sherm head
bust a heemi
 dusting
 getting wet
 ghost busting
 space basing (pcp and crack cocaine)
 space blasting (pcp and crack cocaine)
dusted
 gacked out
 stained on the hardware
 wet
